host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price_per_bedroom,num_amenities
2847,100.0,99.0,True,9,17,True,True,42.66646,-73.79184,7,0,4,1.0,2.0,2.0,92.0,3,700,3,1125,3.0,1125.0,14,32,62,241,93,25,0,178,26,150,1628.0,80.0,4.91,4.9,4.86,4.98,5.0,4.73,4.85,False,9,9,0,1.75,46.0,22
3997,100.0,98.0,True,4,7,True,True,42.65345,-73.76663,7,0,2,1.0,1.0,1.0,96.0,1,1125,2,1125,3.7,1125.0,0,8,38,312,65,16,2,154,18,96,1621.0,47.0,4.58,4.69,4.68,4.51,4.54,4.52,4.58,False,4,4,0,1.23,96.0,23
2847,100.0,99.0,True,9,17,True,True,42.67156,-73.80883,7,0,3,1.0,1.0,1.0,77.0,3,700,3,700,3.0,700.0,9,14,38,313,71,20,1,154,22,120,1608.0,52.0,4.9,4.92,4.89,4.97,4.99,4.87,4.94,True,9,9,0,1.36,77.0,29
1655,100.0,99.0,True,16,26,True,True,42.6692,-73.79849,15,1,3,1.0,1.0,1.0,90.0,1,32,1,1125,1.0,1125.0,9,16,31,31,172,47,2,31,43,255,1641.0,43.0,4.97,4.97,4.99,4.97,4.99,4.98,4.98,False,15,4,11,3.22,90.0,71
2114,100.0,100.0,False,4,4,True,True,42.656,-73.76123,7,0,4,1.0,2.0,3.0,134.0,2,1125,1,1125,2.9,1091.7,0,5,35,310,21,3,0,151,4,18,1621.0,140.0,4.43,4.67,4.57,4.76,4.71,4.29,4.33,False,4,4,0,0.4,67.0,24
3945,100.0,73.0,True,2,5,True,True,42.66744,-73.79216,7,0,5,2.0,2.0,2.0,125.0,14,365,14,365,14.0,365.0,14,18,25,300,9,2,1,141,2,56,1556.0,56.0,5.0,5.0,4.67,5.0,4.89,4.89,4.89,False,2,2,0,0.18,62.5,23
1637,100.0,99.0,True,7,9,True,True,42.65118,-73.75274,7,0,4,1.0,1.0,2.0,95.0,2,1125,2,1125,2.0,1125.0,19,33,63,243,168,29,0,179,33,174,1614.0,74.0,4.88,4.93,4.97,4.95,4.89,4.9,4.86,True,2,2,0,3.2,95.0,49
1863,100.0,98.0,True,17,17,True,True,42.66261,-73.78332,4,0,6,1.0,3.0,4.0,201.0,1,365,1,1125,1.0,1125.0,26,54,82,357,167,21,2,198,15,126,1615.0,60.0,4.78,4.87,4.95,4.95,4.93,4.47,4.63,False,17,4,13,3.17,67.0,57
1637,100.0,99.0,True,7,9,True,True,42.64982,-73.7509,7,0,6,1.0,2.0,3.0,130.0,1,730,1,730,1.2,730.0,5,5,5,142,228,40,1,81,45,240,1439.0,66.0,4.9,4.96,4.94,4.97,4.92,4.89,4.88,True,2,2,0,4.88,65.0,59
3204,100.0,98.0,True,8,8,True,True,42.65399,-73.78126,15,1,1,1.0,1.0,1.0,41.0,2,180,2,1125,2.0,1125.0,7,27,34,280,76,15,0,121,28,90,1595.0,133.0,4.92,4.95,4.97,4.91,4.96,4.86,4.95,False,8,2,6,1.46,41.0,34
4615,100.0,89.0,True,8,13,True,True,42.66526412963867,-73.78692626953125,4,0,13,5.5,5.0,5.0,511.0,2,1125,2,1125,2.0,1125.0,17,45,75,331,44,14,0,175,12,84,1092.0,76.0,4.95,4.95,4.95,5.0,4.98,4.91,4.93,False,8,8,0,1.25,102.2,67
